F3 A0 81 93 - 11110011 10100000 10000001 10010011 - 011 100000 000001 010011 - 83 -     S
F3 A0 81 A5 - 11110011 10100000 10000001 10100101 - 011 100000 000001 100101 - 101 -    e
F3 A0 81 A1 - 11110011 10100000 10000001 10100001 - 011 100000 000001 100001 - 97 -     a
F3 A0 81 B3 - 11110011 10100000 10000001 10110011 - 011 100000 000001 110011 - 115 -    s
F3 A0 81 AF - 11110011 10100000 10000001 10101111 - 011 100000 000001 101111 - 111 -    o
F3 A0 81 AE - 11110011 10100000 10000001 10101110 - 011 100000 000001 101110 - 110 -    n
F3 A0 80 A0 - 11110011 10100000 10000000 10100000 - 011 100000 000000 100000 - 32 -     [ ]
F3 A0 81 B3 - 11110011 10100000 10000001 10110011 - 011 100000 000001 110011 - 115 -    s
F3 A0 81 A1 - 11110011 10100000 10000001 10100001 - 011 100000 000001 100001 - 97 -     a
F3 A0 81 AC - 11110011 10100000 10000001 10101100 - 011 100000 000001 101100 - 108 -    l
F3 A0 81 AD - 11110011 10100000 10000001 10101101 - 011 100000 000001 101101 - 109 -    m
F3 A0 81 AF - 11110011 10100000 10000001 10101111 - 011 100000 000001 101111 - 111 -    o
F3 A0 81 AE - 11110011 10100000 10000001 10101110 - 011 100000 000001 101110 - 110 -    n
F3 A0 80 A0 - 11110011 10100000 10000000 10100000 - 011 100000 000000 100000 - 32 -     [ ]
F3 A0 81 A6 - 11110011 10100000 10000001 10100110 - 011 100000 000001 100110 - 102 -    f
F3 A0 81 A9 - 11110011 10100000 10000001 10101001 - 011 100000 000001 101001 - 105 -    i
F3 A0 81 AC - 11110011 10100000 10000001 10101100 - 011 100000 000001 101100 - 108 -    l
F3 A0 81 AC - 11110011 10100000 10000001 10101100 - 011 100000 000001 101100 - 108 -    l
F3 A0 81 A5 - 11110011 10100000 10000001 10100101 - 011 100000 000001 100101 - 101 -    e
F3 A0 81 B4 - 11110011 10100000 10000001 10110100 - 011 100000 000001 110100 - 116 -    t
F3 A0 81 B3 - 11110011 10100000 10000001 10110011 - 011 100000 000001 110011 - 115 -    s
